title, date,Points,Idea Max,ct
December 23,12/23/2022,1,,
Christmas Eve,12/24/2022,2,2,
Christmas,12/25/2022,2,2,
Christmas Camp Day 1,12/26/2022,1,10,1
Christmas Camp Day 2,12/27/2022,1,10,1
Christmas Camp Day 3,12/27/2022,1,10,1
Scouts 1,12/27/2022,1,1,
Christmas Camp Day 4,12/28/2022,1,10,1
Scouts 2,12/27/2022,1,1,
December 29,12/29/2022,1,1,,
December 30,12/30/2022,1,1,
New Years Eve Day,12/30/2022,1,1,
New Years Eve Night,12/30/2022,1,1,
New Years Day, 01/01/2023,1,1,
MLK Day,1/16/2023,1,1,
President Week Monday,02/20/2023,1,10,2
President Week Tuesday,02/21/2023,1,10,2
Scouts 3,02/21/2023,1,,
President Week Wednesday,02/22/2023,1,10,2
Scouts 4,02/22/2023,1,1,
President Week Thursday,02/23/2023,1,10,2
President Week Friday,02/24/2023,1,1,
